"einfuehrungsphase";"jahreszeit";"wetter";"arbeitstag";"temperatur";"windgeschwindigkeit";"luftfeuchtigkeit"
"Nein";"Herbst";"Nicht gut";"Ja";23,88;7,57;73,19
"Ja";"Frühling";"Nicht gut";"Ja";19,45;23,94;62,92
"Nein";"Sommer";"Gut";"Nein";31,58;10,27;44,5
"Nein";"Winter";"Gut";"Ja";2,95;15,38;45,4
"Ja";"Frühling";"Nicht gut";"Ja";19,04;15,52;69,22
"Ja";"Frühling";"Gut";"Ja";16,11;8,73;47,55
"Ja";"Winter";"Gut";"Nein";5,24;10,66;68,62
"Ja";"Frühling";"Gut";"Ja";21,48;21,6;70,86
"Nein";"Frühling";"Nicht gut";"Ja";10,85;7,67;87,65
"Nein";"Herbst";"Gut";"Ja";14,78;5,5;65,8
"Nein";"Winter";"Gut";"Ja";12,18;12,15;66,83
"Ja";"Sommer";"Gut";"Nein";23,23;9,15;53,55
"Ja";"Sommer";"Gut";"Nein";30,88;10,04;48,99
"Nein";"Sommer";"Gut";"Ja";26,75;11,72;66,29
"Ja";"Frühling";"Gut";"Nein";23,89;14,15;95,33
"Nein";"Frühling";"Gut";"Ja";17,96;10,46;58,67
"Nein";"Sommer";"Gut";"Nein";20,24;11,61;50,7
"Ja";"Winter";"Gut";"Ja";3,75;4,05;69,25
"Nein";"Winter";"Gut";"Nein";6,37;12,71;55,63
"Nein";"Sommer";"Gut";"Ja";30,19;10,99;51,62
"Nein";"Frühling";"Gut";"Ja";18,28;9,24;47,4
"Ja";"Sommer";"Gut";"Ja";25,64;14,38;61,38
"Ja";"Herbst";"Gut";"Ja";12,35;14,68;51,69
"Ja";"Frühling";"Gut";"Ja";21,08;25,1;47,88
"Nein";"Herbst";"Nicht gut";"Ja";5,89;17;82,39
"Nein";"Frühling";"Gut";"Ja";18,78;6,66;81,59
"Nein";"Frühling";"Gut";"Ja";25,99;19,64;72,63
"Nein";"Herbst";"Gut";"Ja";21,64;8,93;59,87
"Nein";"Winter";"Gut";"Ja";3,42;9,37;66,9
"Nein";"Winter";"Nicht gut";"Ja";12,11;16,53;78,79
"Nein";"Frühling";"Gut";"Ja";22,17;18,25;36,23
"Nein";"Herbst";"Gut";"Ja";21,53;17;55,63
"Ja";"Herbst";"Gut";"Nein";17,64;16,86;51,92
"Ja";"Sommer";"Gut";"Ja";26,88;14,66;69,58
"Nein";"Frühling";"Gut";"Ja";12,44;10,94;36,67
"Nein";"Herbst";"Gut";"Nein";16,71;16,31;51,51
"Nein";"Frühling";"Nicht gut";"Ja";17,78;9,42;77,03
"Nein";"Sommer";"Nicht gut";"Nein";23,94;17,13;74,93
"Ja";"Frühling";"Gut";"Nein";20,51;10,54;74,04
"Nein";"Sommer";"Gut";"Ja";24,03;9,12;55,19
"Ja";"Sommer";"Gut";"Nein";25,48;7,04;71,81
"Ja";"Winter";"Gut";"Nein";-5,05;10,54;33,31
"Ja";"Winter";"Gut";"Nein";1,69;13,49;51,79
"Ja";"Frühling";"Gut";"Nein";13,5;20,1;45,25
"Nein";"Winter";"Nicht gut";"Ja";7,36;11,21;51,6
"Ja";"Winter";"Gut";"Nein";5,36;11,97;47,58
"Ja";"Winter";"Nicht gut";"Ja";12,23;2,95;64,93
"Ja";"Sommer";"Nicht gut";"Ja";23,12;10,12;72,17
"Ja";"Frühling";"Gut";"Ja";20,39;17,34;56,56
"Nein";"Herbst";"Gut";"Ja";5,81;7,3;52,84
"Ja";"Winter";"Gut";"Ja";11,62;27,23;40,96
"Ja";"Winter";"Gut";"Nein";5,28;8,11;64,28
"Nein";"Sommer";"Nicht gut";"Ja";22,63;7,91;69,46
"Ja";"Sommer";"Gut";"Ja";27,9;8,65;62,08
"Ja";"Winter";"Gut";"Ja";7,88;19,98;62,69
"Ja";"Winter";"Nicht gut";"Ja";1,45;7,91;62,83
"Ja";"Herbst";"Nicht gut";"Ja";15,67;16,59;93,03
"Nein";"Herbst";"Gut";"Ja";15,34;10,94;67,31
"Ja";"Herbst";"Nicht gut";"Ja";20,71;10,7;71,44
